City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
65,fortuna,40.5982,-124.1573,53.924000000000014,85,20,4.63,US,1676940216
66,maniitsoq,65.4167,-52.9,2.912000000000056,74,100,8.38,GL,1676940216
67,fairbanks,64.8378,-147.7164,16.088000000000044,86,100,0.0,US,1676940217
68,new norfolk,-42.7826,147.0587,65.71400000000003,39,40,1.34,AU,1676940159
69,turukhansk,65.8167,87.9833,4.31600000000001,96,100,2.74,RU,1676940217
70,along,28.1667,94.7667,61.10600000000003,75,100,0.47,IN,1676940217
71,mataura,-46.1927,168.8643,59.48600000000007,43,100,3.57,NZ,1676940160
72,chaman,30.9236,66.4512,46.97600000000009,31,0,0.79,PK,1676940218
73,agua verde,22.9,-106.05,78.89000000000001,67,0,5.44,MX,1676940218
74,bell ville,-32.6259,-62.6887,69.674,26,100,4.0,AR,1676940218
75,tezu,27.9167,96.1667,67.424,48,99,1.04,IN,1676940219
76,bengkulu,-3.8004,102.2655,75.434,87,100,0.91,ID,1676940219
77,vaini,-21.2,-175.2,82.56200000000005,89,75,3.09,TO,1676940167
78,hongjiang,27.11,109.9956,50.9,60,100,1.76,CN,1676940220
79,gat,31.61,34.7642,57.88399999999999,100,100,3.05,IL,1676940220
80,east london,-33.0153,27.9116,64.34600000000005,62,32,9.93,ZA,1676940161
81,tuktoyaktuk,69.4541,-133.0374,-16.59999999999995,76,100,2.57,CA,1676940180
82,alofi,-19.0595,-169.9187,85.892,74,75,4.63,NU,1676940220
83,svetlogorsk,52.6333,29.7333,36.733999999999995,90,100,9.41,BY,1676940221
84,qaqortoq,60.7167,-46.0333,-1.3179999999999836,75,30,5.73,GL,1676940221
85,cape town,-33.9258,18.4232,59.88200000000002,64,0,1.79,ZA,1676939957
86,isiro,2.7739,27.616,66.66800000000009,45,72,0.98,CD,1676940221
87,padang,-0.9492,100.3543,73.45400000000005,78,100,1.34,ID,1676940222
88,the valley,18.217,-63.0578,76.85600000000002,70,41,8.2,AI,1676940222
89,poya,-21.35,165.15,85.06400000000004,56,24,3.49,NC,1676940222
90,leningradskiy,69.3833,178.4167,-22.611999999999952,95,82,2.04,RU,1676940223
91,mar del plata,-38.0023,-57.5575,69.09800000000003,89,0,4.47,AR,1676940223
92,san patricio,28.017,-97.5169,79.53800000000004,79,89,5.15,US,1676940163
93,pingliang,35.5392,106.6861,29.210000000000083,77,100,2.56,CN,1676940223
94,geraldton,-28.7667,114.6,75.61400000000003,69,75,5.66,AU,1676940162
95,burnie,-41.0667,145.9167,63.95,39,0,2.36,AU,1676940224
96,ola,59.5833,151.2833,-8.823999999999963,76,11,2.81,RU,1676940224
97,sola,-13.8833,167.55,81.266,89,75,0.0,VU,1676940224
98,jackson,42.4165,-122.8345,59.59400000000007,51,0,1.54,US,1676940156
99,guerrero negro,27.9769,-114.0611,64.77800000000006,61,48,5.4,MX,1676939946
100,kieta,-6.2167,155.6333,85.85600000000002,67,80,1.91,PG,1676940175
101,pisco,-13.7,-76.2167,75.25400000000005,78,75,9.26,PE,1676940174
102,cabinda,-5.55,12.2,79.12400000000001,88,100,2.59,AO,1676940225
103,kapaa,22.0752,-159.319,79.12400000000001,81,75,5.14,US,1676940158
104,alice springs,-23.7,133.8833,89.15,35,3,4.12,AU,1676940225
105,qaanaaq,77.484,-69.3632,-4.881999999999962,95,100,3.57,GL,1676940154
106,diamantino,-14.4086,-56.4461,70.52000000000007,96,100,1.89,BR,1676940225
107,salina,38.8403,-97.6114,57.32600000000009,37,0,3.09,US,1676940021
108,kutum,14.2,24.6667,60.15200000000008,22,5,3.53,SD,1676940226
109,tura,25.5198,90.2201,64.32800000000006,59,0,1.83,IN,1676940015
110,avera,33.194,-82.5271,66.25400000000005,68,99,5.44,US,1676940226
111,hithadhoo,-0.6,73.0833,80.85200000000007,76,11,3.31,MV,1676940226
112,praia,14.9215,-23.5087,70.34000000000002,73,20,11.83,CV,1676940227
113,saldanha,-33.0117,17.9442,53.65400000000005,71,18,4.15,ZA,1676940227
114,shahr-e babak,30.1165,55.1186,44.041999999999994,30,0,2.64,IR,1676940227
115,iqaluit,63.7506,-68.5145,-18.30999999999998,68,75,4.12,CA,1676940227
116,palmer,42.1584,-72.3287,48.61400000000003,53,0,4.12,US,1676940228
117,lagoa,39.05,-27.9833,58.891999999999996,81,100,6.87,PT,1676940161
118,chongwe,-15.3292,28.682,64.58000000000004,91,100,1.03,ZM,1676940228
119,camacari,-12.6975,-38.3242,80.36600000000001,85,100,1.58,BR,1676940228
120,hasaki,35.7333,140.8333,39.29000000000002,45,100,9.49,JP,1676939960
121,kamaishi,39.2667,141.8833,32.75600000000003,41,70,3.26,JP,1676940229
122,buraydah,26.326,43.975,63.05,29,100,4.16,SA,1676940229
123,barrow,71.2906,-156.7887,-21.98199999999997,76,0,3.6,US,1676940169
124,sinaloa,25.0,-107.5,82.85,39,62,1.8,MX,1676939946
125,khatanga,71.9667,102.5,8.491999999999997,94,100,5.77,RU,1676940160
126,touros,-5.1989,-35.4608,80.56400000000004,75,100,6.91,BR,1676940102
127,surgut,61.25,73.4167,-4.917999999999985,83,20,4.02,RU,1676940229
128,amuntai,-2.4177,115.2494,80.33000000000004,79,98,0.73,ID,1676940193
129,dordrecht,51.81,4.6736,47.983999999999995,85,61,3.58,NL,1676940230
130,northam,51.0333,-4.2167,47.39000000000002,98,100,2.82,GB,1676940230
131,codrington,-38.2667,141.9667,65.642,52,99,9.07,AU,1676940230
132,kampot,10.6167,104.1833,75.25400000000005,76,54,2.36,KH,1676940231
133,baruun-urt,46.6806,113.2792,6.782000000000018,63,100,4.31,MN,1676940231
134,huarmey,-10.0681,-78.1522,74.44400000000007,87,100,3.42,PE,1676940231
135,deputatskiy,69.3,139.9,-29.649999999999956,92,7,2.48,RU,1676940232
136,kodiak,57.79,-152.4072,38.714000000000034,38,0,10.29,US,1676940162
137,bilma,18.6853,12.9164,63.91400000000003,23,0,4.1,NE,1676940232
138,vestmannaeyjar,63.4427,-20.2734,37.97600000000009,64,100,3.85,IS,1676940232
139,puerto escondido,15.85,-97.0667,83.22800000000007,65,20,3.09,MX,1676940233
140,joaima,-16.6542,-41.0306,70.86200000000005,90,100,0.28,BR,1676940233
141,sorong,-0.8833,131.25,83.174,71,44,2.6,ID,1676940233
142,high level,58.5169,-117.136,5.108000000000004,61,20,4.12,CA,1676940233
143,dingle,10.9995,122.6711,80.29400000000007,81,100,3.5,PH,1676940234
144,port alfred,-33.5906,26.891,63.59000000000002,66,3,13.13,ZA,1676940172
145,longyearbyen,78.2186,15.6401,8.438000000000045,78,75,3.09,SJ,1676940174
146,havoysund,70.9963,24.6622,21.43399999999999,80,98,2.54,NO,1676940234
147,isangel,-19.55,169.2667,84.308,70,100,3.09,VU,1676940234
148,kaitangata,-46.2817,169.8464,62.52800000000006,85,90,4.41,NZ,1676940175
149,shizuishan,39.2333,106.7694,30.90200000000008,69,61,3.3,CN,1676940235
150,lashio,22.9333,97.75,62.24000000000002,55,47,0.23,MM,1676940235
151,nizhnevartovsk,60.9344,76.5531,1.4180000000000845,85,100,2.0,RU,1676940235
152,sabang,5.8933,95.3214,81.55400000000006,72,100,6.0,ID,1676940236
153,dwarka,22.2394,68.9678,72.51800000000009,82,100,3.9,IN,1676940236
154,purranque,-40.9167,-73.1667,60.13399999999999,65,0,2.69,CL,1676940236
155,culfa,38.9558,45.6308,46.274000000000015,69,100,1.43,AZ,1676940237
156,acapulco,16.8634,-99.8901,84.02000000000007,70,0,3.6,MX,1676940121
157,kautokeino,69.0125,23.0412,1.940000000000019,100,91,0.91,NO,1676940237
158,cefalu,38.0386,14.0229,53.54600000000005,70,2,1.34,IT,1676940237
159,cherskiy,68.75,161.3,-31.449999999999953,94,96,1.34,RU,1676940237
160,broome,42.2506,-75.833,40.98200000000001,71,100,3.6,US,1676939996
161,kloulklubed,7.0419,134.2556,75.70400000000005,76,100,4.04,PW,1676940238
162,ornskoldsvik,63.2909,18.7153,25.754000000000055,100,75,3.6,SE,1676940076
163,havelock,34.8791,-76.9013,62.564000000000036,81,0,3.58,US,1676940238
164,vostok,46.4856,135.8833,5.072000000000038,87,100,2.39,RU,1676940238
165,port elizabeth,-33.918,25.5701,61.10600000000003,71,0,8.75,ZA,1676940176
166,coquimbo,-29.9533,-71.3436,64.13000000000004,88,40,4.63,CL,1676939875
167,avarua,-21.2078,-159.775,84.25400000000005,74,20,3.09,CK,1676940165
